team,eid,roto,fulltrans,ename,short,yahoo,eshort,st,mlbc,cbs,playoffs
"ARI",29,"ARZ","Arizona Diamondbacks","Arizona","diamondbacks","ari","ari","arizona-diamondbacks","ari","ari","diamondbacks"
"ATL","15","ATL","Atlanta Braves","Atlanta","braves","atl","atl","atlanta-braves","atl","atl","braves"
"BAL","1","BAL","Baltimore Orioles","Baltimore","orioles","bal","bal","baltimore-orioles","bal","bal","orioles"
"BOS","2","BOS","Boston Red Sox","Boston","redsox","bos","bos","boston-red-sox","bos","bos","red sox"
"CHC","16","CHC","Chicago Cubs","Chicago Cubs","cubs","chc","chc","chicago-cubs","chc","chc","cubs"
"CIN","17","CIN","Cincinnati Reds","Cincinnati","reds","cin","cin","cincinnati-reds","cin","cin","reds"
"CLE","5","CLE","Cleveland Indians","Cleveland","indians","cle","cle","cleveland-indians","cle","cle","indians"
"COL","27","COL","Colorado Rockies","Colorado","rockies","col","col","colorado-rockies","col","col","rockies"
"CWS","4","CWS","Chicago White Sox","Chicago Sox","whitesox","chw","chw","chicago-white-sox","cws","chw","white sox"
"DET","6","DET","Detroit Tigers","Detroit","tigers","det","det","detroit-tigers","det","det","tigers"
"HOU","18","HOU","Houston Astros","Houston","astros","hou","hou","houston-astros","hou","hou","astros"
"KC","7","KC","Kansas City Royals","Kansas City","royals","kan","kc","kansas-city-royals","kc","kc","royals"
"LAA","3","ANA","Los Angeles Angels","LA Angels","angels","laa","laa","los-angeles-angels","ana","laa","angels"
"LAD","19","LA","Los Angeles Dodgers","LA Dodgers","dodgers","lad","lad","los-angeles-dodgers","lad","lad","dodgers"
"MIA","28","FLA","Miami Marlins","Miami","Miami","mia","mia","miami-marlins","mia","mia","marlins"
"MIL","8","MLW","Milwaukee Brewers","Milwaukee","brewers","mil","mil","milwaukee-brewers","mil","mil","brewers"
"MIN","9","MIN","Minnesota Twins","Minnesota","twins","min","min","minnesota-twins","min","min","twins"
"NYM","21","NYM","New York Mets","NY Mets","mets","nym","nym","new-york-mets","nym","nym","mets"
"NYY","10","NYY","New York Yankees","NY Yankees","yankees","nyy","nyy","new-york-yankees","nyy","nyy","yankees"
"OAK","11","OAK","Oakland Athletics","Oakland","athletics","oak","oak","oakland-athletics","oak","oak","athletics"
"PHI","22","PHI","Philadelphia Phillies","Philadelphia","phillies","phi","phi","philadelphia-phillies","phi","phi","phillies"
"PIT","23","PIT","Pittsburgh Pirates","Pittsburgh","pirates","pit","pit","pittsburgh-pirates","pit","pit","pirates"
"SD","25","SD","San Diego Padres","San Diego","padres","sdg","sd","san-diego-padres","sd","sd","padres"
"SEA","12","SEA","Seattle Mariners","Seattle","mariners","sea","sea","seattle-mariners","sea","sea","mariners"
"SF","26","SF","San Francisco Giants","San Francisco","giants","sfo","sf","san-francisco-giants","sf","sf","giants"
"STL","24","STL","St. Louis Cardinals","St. Louis","cardinals","stl","stl","st.-louis-cardinals","stl","stl","cardinals"
"TB","30","TB","Tampa Bay Rays","Tampa Bay","rays","tam","tb","tampa-bay-rays","tb","tb","rays"
"TEX","13","TEX","Texas Rangers","Texas","rangers","tex","tex","texas-rangers","tex","tex","rangers"
"TOR","14","TOR","Toronto Blue Jays","Toronto","bluejays","tor","tor","toronto-blue-jays","tor","tor","blue jays"
"WSH","20","WAS","Washington Nationals","Washington","nationals","was","wsh","washington-nationals","was","was","nationals"
